id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
197636987,Thùng 48 Bịch Sữa Tiệt Trùng Dutch Lady Cô Gái Hà Lan Có Đường 180ml,317000,493000,176000,4.7,93,,,,,,,,,,thùng bịch sữa tiệt trùng
193685374,Combo 2 bịch thức uống ca cao lúa mạch Milo Regular (600g),198800,254000,55200,5,5,,,,,,,,,,combo bịch thức uống ca
177336108,Thùng Veyo Sữa hạt lên men tự nhiên Vị Dâu Nhật (30hộp x 180ml),175000,245000,70000,5,123,,,,,,,,,,thùng veyo sữa hạt
133696713,Dầu Đậu Nành Simply 1L / 2L / 5L,69000,80000,11000,5,1559,,,,,,,,,,dầu đậu nành simply l
133682930,Dầu Ăn Cái Lân 1L / 2L / 5L,70000,70000,0,5,723,,,,,,,,,,dầu ăn lân l
98565203,Thùng 24 Lon Nước Ngọt Có Gaz Mirinda Soda Kem (320ml/lon),250800,288420,37620,4.8,270,,,,,,,,,,thùng lon nước ngọt có
65848108,Trà Xanh Cầu Đất Dalat Farm - Hộp 110Gr,90000,90000,0,5,97,,,,,,,,,,trà xanh cầu đất
52795555,Túi Gạo Meizan Nàng Thơm 5kg,103000,108000,5000,4.8,129,,,,,,,,,,túi gạo meizan nàng
51713363,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Special Edition - Hộp 18 gói x 25gr,131000,141457,10457,4.8,369,,,,,,,,,,trung nguyên legend cà phê hòa
32951828,Thùng Sữa đậu nành Vinasoy Fami Nguyên Chất ít đường (200ml x 40 bịch),158000,199000,41000,4.8,945,,,,,,,,,,thùng sữa đậu nành vinasoy fami
32951826,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 36 Hộp),164000,221000,57000,5,575,,,,,,,,,,thùng sữa đậu nành vinasoy fami
32951822,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 40 bịch),150000,203000,53000,4.8,2454,,,,,,,,,,thùng sữa đậu nành vinasoy fami
27929101,Thùng 30 Gói Mì Cung Đình Kool Spaghetti (105g X 30 Gói),248000,267000,19000,5,23,,,,,,,,,,thùng gói mì cung đình
22448892,Thùng Sữa Đậu Nành Vinasoy Fami Canxi Nguyên vị (200ml x 40 Bịch),150000,203000,53000,4.8,831,,,,,,,,,,thùng sữa đậu nành vinasoy fami
15214743,Thùng 10 Hộp Sữa Đậu Nành Vinasoy Fami Nguyên Chất (1 lít / Hộp),175000,320000,145000,4.8,287,,,,,,,,,,thùng hộp sữa đậu nành vinasoy
2454283,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan Có Đường (48X180ml),411000,533000,122000,4.8,564,,,,,,,,,,thùng hộp sữa tươi tiệt
537489,Thùng 30 Gói Mì Khoai Tây Cung Đình Hương Vị Lẩu Tôm Chua Cay,220000,249000,29000,4.6,29,,,,,,,,,,thùng gói mì khoai tây
483310,Dầu Hạt Cải Simply (1L / Chai),66000,80000,14000,5,285,,,,,,,,,,dầu hạt cải simply
483305,Dầu Ôliu Nguyên Chất Olivoilà (250ml / Chai),110000,116000,6000,5,147,,,,,,,,,,dầu ôliu nguyên chất
92169757,Cà phê hòa tan Nescafé 3in1 cà phê sữa đá (Hộp 10 gói x 24 g),55000,62000,7000,5,269,,,,,,,,,,cà phê hòa tan nescafé
272635021,Cà phê hoà tan NESCAFÉ 3IN1 VỊ RANG ĐẬM - công thức cải tiến (hộp 20 gói x 16g),72400,89000,16600,5,12,,,,,,,,,,cà phê hòa tan nescafé
278672477,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk  nguyên chất 110ml,330000,359000,29000,0,0,,,,,,,,,,thùng hộp sữa tươi tiệt
278591992,Nước mắm Nam Ngư  MN 750ml,70000,70000,0,0,0,,,,,,,,,,nước mắm nam
278424813,Thùng 24 hộp sữa hạt cao đạm Vinamilk ít đường 180ml,330000,414000,84000,0,0,,,,,,,,,,thùng hộp sữa hạt
278378656,Thùng 12 hộp Trà Atisô không đường Vinamilk - Hộp giấy 1L,279000,328925,49925,5,4,,,,,,,,,,thùng hộp trà atisô
275496221,Thùng 30 Gói Mì Cung Đình Kool BBQ Hương Vị Sườn Nướng Hàn Quốc 99g,250000,360000,110000,2.5,2,,,,,,,,,,thùng gói mì cung đình
274764376,[Combo 12 Gói] Thức Ăn Cho Mèo WHISKAS 1+ years Vị Cá Saba 80g/Gói,153000,217000,64000,5,5,,,,,,,,,,thức ăn mèo whiskas years vị
272619678,Gói Bột Ngọt AJINOMOTO 454g/Gói,45000,45000,0,5,10,,,,,,,,,,gói bột ngọt ajinomoto
248930192,Gạo Thơm Dẻo - Đặc Biệt ST25 Plus Neptune 5kg,166000,200000,34000,4.3,4,,,,,,,,,,gạo thơm dẻo đặc biệt st
271121599,Thùng 48 hộp sữa lúa mạch MILO 110ml (48x110ml),270000,337000,67000,5,7,,,,,,,,,,thùng hộp sữa lúa
197636993,Thùng 48 Bịch Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan Hương Socola 180ml,323000,433000,110000,5,44,,,,,,,,,,thùng bịch sữa tươi tiệt
197636991,Thùng 48 Bịch Sữa Tiệt Trùng Dutch Lady Cô Gái Hà Lan Không Đường 180ml,317000,493000,176000,5,95,,,,,,,,,,thùng bịch sữa tiệt trùng
164556984,YẾN SANEST ĐÔNG TRÙNG HẠ THẢO 70ML.,46000,46000,0,0,0,,,,,,,,,,yến sanest đông trùng
161454715,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Bịch 50 gói x 17gr,202599,202599,0,5,363,,,,,,,,,,trung nguyên legend cà phê hòa
106807281,Sữa chua uống hương táo nho Vinamilk Susu - Thùng 48 hộp 110ml.,184000,249000,65000,5,30,,,,,,,,,,sữa chua uống hương
98329162,Thùng 24 Lon Nước Tăng Lực Sting Dâu (320ml/Lon),268800,309120,40320,4.7,686,,,,,,,,,,thùng lon nước tăng lực
95073986,Thùng Sữa Đậu Nành Vinasoy Fami Nguyên Chất Vị Đường Đen (200ml x 36 Hộp),147000,206000,59000,5,342,,,,,,,,,,thùng sữa đậu nành vinasoy fami nguyên
95073982,Thùng Sữa Đậu Nành Vinasoy Fami Nguyên Chất Vị Sữa Dừa (200ml x 36 Hộp),153000,214000,61000,5,456,,,,,,,,,,thùng sữa đậu nành vinasoy fami nguyên
65923404,Trà Oolong Kim Tuyên Cầu Đất - Hộp 220Gr - Dalat Farm,190000,190000,0,4.8,528,,,,,,,,,,trà oolong kim tuyên cầu
59514285,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Hộp 21 gói x 16gr,80000,87545,7545,5,77,,,,,,,,,,trung nguyên legend cà phê hòa
59178781,Trung Nguyên Legend - Cà phê hoà tan rang xay Cappuccino Hazelnut - Hộp 12 gói x 18gr,79000,85874,6874,5,241,,,,,,,,,,trung nguyên legend cà phê hòa
58452062,Đường Phèn Biên Hòa Pro (500gr),35000,40500,5500,5,20,,,,,,,,,,đường phèn biên hòa
58407832,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 1 - Bịch 340gr,83000,92553,9553,5,160,,,,,,,,,,trung nguyên legend cà phê rang xay
58406605,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 5 - Bịch 340gr,163000,180349,17349,5,202,,,,,,,,,,trung nguyên legend cà phê rang xay
58392902,Trung Nguyên Legend - Cà phê G7 hòa tan đen ( không đường) - bịch 100 sachets 2gr,211000,226641,15641,4.8,354,,,,,,,,,,trung nguyên legend cà phê
53831590,Dầu Gạo Lứt Simply 1L,69000,85000,16000,5,324,,,,,,,,,,dầu gạo lứt simply
51713351,Trung Nguyên Legend - Cà phê hoà tan rang xay Passiona - Hộp 14 gói x 16gr,86848,86848,0,5,227,,,,,,,,,,trung nguyên legend cà phê hòa
51713336,Trung Nguyên Legend - Cà phê rang xay House Blend - Hộp 500gr,115000,128066,13066,5,57,,,,,,,,,,trung nguyên legend cà phê rang
50411237,Trà Xanh Thượng Hạng Tân Cương Thái Nguyên Khánh Nga 100g,56000,56000,0,4.8,49,,,,,,,,,,trà xanh thượng hạng tân cương thái
20366824,Trung Nguyên Legend - Cà phê hạt rang Success 1 - Bịch 1kg,305000,339625,34625,4.8,165,,,,,,,,,,trung nguyên legend cà phê hạt
14936798,Thùng 48 bịch sữa tươi tiệt trùng TH True Milk  ít đường 220ml,485000,502000,17000,4.6,769,,,,,,,,,,thùng bịch sữa tươi tiệt
13724857,Thùng Sữa Đậu Nành Vinasoy Famigo Đậu Đỏ Nếp Cẩm (200ml x 36 Hộp),173000,255000,82000,4.8,345,,,,,,,,,,thùng sữa đậu nành vinasoy famigo
13409537,Thùng 48 hộp Sữa Dinh Dưỡng Dutch Lady OmegaSmart Ít Đường 110 ml,320000,400000,80000,4.3,47,,,,,,,,,,thùng hộp sữa dinh dưỡng
3041823,Thùng 4 Lốc Sữa Nguyên Kem Devondale Fullcream (4 x 6 x 200Ml),359000,436000,77000,4.8,253,,,,,,,,,,thùng lốc sữa kem
2454173,Sữa đặc có đường Dutch Lady cao cấp 380g,36500,62000,25500,4.7,40,,,,,,,,,,sữa đặc có đường
2431263,Dầu hướng dương Simply (2L),133000,133000,0,5,479,,,,,,,,,,dầu hướng
537395,Thùng 30 Gói Mì Cung Đình Hương Vị Gà Hầm (79g/Gói),253000,264000,11000,4.5,8,,,,,,,,,,thùng gói mì cung đình
278791918,Combo 2 bịch Bột Mỳ Đa Dụng Meizan 1kg,70000,70000,0,5,3,,,,,,,,,,combo bịch bột mỳ
278768344,Thùng 24 lon Bia Pháp Kronenbourg 1664 Blanc (250ml/lon) - Độ cồn 5%,370000,370000,0,0,0,,,,,,,,,,thu ng lon bia pháp
278678872,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 1 -  Bịch 340gr,102000,102000,0,5,1,,,,,,,,,,trung nguyên legend cà phê rang xay
278672463,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk  hương dâu tự nhiên 180ml,529000,540000,11000,0,0,,,,,,,,,,thùng hộp sữa tươi tiệt
278134890,Thùng 48 Bịch Sữa Tươi Tiệt Trùng Vinamilk 100% Có Đường (220ml),400000,476000,76000,5,5,,,,,,,,,,thùng bịch sữa tươi tiệt
277570683,Thùng 48 Hộp Sữa Nestlé MILO A2 MỚI  (110ml / Hộp),227000,320000,93000,5,3,,,,,,,,,,thùng hộp sữa nestlé
275925856,Cà Phê Robusta Nguyên Chất Đất Cà Phê 250g | Pure Robusta Coffee 250g - Gu Đậm Đà,14500,29000,14500,5,4,,,,,,,,,,cà phê robusta nguyên chất đất
275925418,Cà Phê Blend Nguyên Chất Đất Cà Phê 250g - 70% Robusta & 30% Arabica | Pure Coffee Blend - Gu Hài Hòa,14500,29000,14500,4.3,4,,,,,,,,,,cà phê blend nguyên chất đất
275918563,Cà Phê Nguyên Chất Specially Đất Cà Phê 250g - 8:2 Robusta & Moka | Pure Robusta & Moka Coffee Blend,14500,29000,14500,5,1,,,,,,,,,,cà phê nguyên chất specially đất
274764350,[Combo 12 Gói] Thức Ăn Cho Mèo WHISKAS 1+ years Vị Cá Ngừ 80g/Gói,156000,161000,5000,5,5,,,,,,,,,,thức ăn mèo whiskas years vị
274553971,KẸO ME CAY XÍ MUỘI TÂN LỘC PHÁT  - HŨ 300G,85000,85000,0,0,0,,,,,,,,,,kẹo me cay xí muội tân lộc
272280091,Thùng 48 Chai x 80ml Sữa Chua Uống Vinamilk Susu Hương Táo Nho,183000,230000,47000,5,5,,,,,,,,,,thùng chai x sữa
271237765,GẠO LỨT NHẬT HOKKAIDO NANATSUBOSHI,320000,320000,0,4.8,17,,,,,,,,,,gạo lứt nhật hokkaido
253395988,Cà phê hòa tan đen - Trung Nguyên Legend Americano hộp 15 gói x 2g,48000,52488,4488,5,48,,,,,,,,,,cà phê hòa tan đen
188661327,Dầu Ôliu Pomace Olivoilà 750ml,200000,213000,13000,5,23,,,,,,,,,,dầu ôliu pomace
178285744,Thùng 48 hộp Sữa đặc có đường Dutch Lady cao cấp (48 hộp x 380g),1733000,2000000,267000,4.8,11,,,,,,,,,,thùng hộp sữa đặc
164557004,NƯỚC YẾN SANEST LỌ COLAGEL 70 ML.-21%,38000,38000,0,0,0,,,,,,,,,,nước yến sanest lọ
114467215,Thùng 48 chai sữa chua uống hương nho Fristi 80ml,192000,305000,113000,5,84,,,,,,,,,,thùng chai sữa chua
114467211,Thùng 48 chai sữa chua uống hương táo Fristi 80ml,192000,255000,63000,4.8,76,,,,,,,,,,thùng chai sữa chua
107018090,Bánh Bông Lan Cuộn Hura Layer Cake 300 gam Bibica,47082,48538,1456,5,21,,,,,,,,,,bánh bông lan cuộn
98565212,Thùng 24 Lon Nước Ngọt Có Gaz Pepsi lon xanh (320ml/lon),239300,275195,35895,4.7,1363,,,,,,,,,,thùng lon nước ngọt có
77730639,Thùng 48 hộp Tươi Tiệt Trùng Vinamilk Green Farm rất ít đường 110ml,298000,339000,41000,5,72,,,,,,,,,,thùng hộp tươi tiệt trùng
72893050,Bột trái nhàu nguyên chất Goce - 180g (18 gói x 10g),120000,120000,0,4.3,24,,,,,,,,,,bột trái nhàu nguyên chất
67921481,Trung Nguyên Legend - Creamer đặc có đường Brothers - Lon 390gr,29305,29305,0,5,279,,,,,,,,,,trung nguyên legend creamer đặc
59504295,Dầu Ăn Thượng Hạng Nhãn Hiệu Neptune Light,69000,74000,5000,5,1740,,,,,,,,,,dầu ăn thượng hạng nhãn hiệu
58393302,Trung Nguyên Legend - Cà phê hoà tan rang xay Cappuccino Mocha - Hộp 12 gói x 18gr ( có sữa),79000,85874,6874,5,188,,,,,,,,,,trung nguyên legend cà phê hòa
39702057,Trung Nguyên Legend - Cà phê rang xay S Chinh phục - Bịch 500gr,90515,90515,0,4.8,472,,,,,,,,,,trung nguyên legend cà phê rang
29174188,Hạt chia đen Ấn Độ (Black Chia Seeds),77000,77000,0,4.8,51,,,,,,,,,,hạt chia đen
21969650,Thùng 48 hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm Organic 180ml,567000,597000,30000,5,193,,,,,,,,,,thùng hộp sữa tươi tiệt
16268023,Thùng 30 Gói Mì Khoai Tây Cung Đình Hương Vị Sườn Hầm Ngũ quả,235000,249000,14000,5,10,,,,,,,,,,thùng gói mì khoai tây
13409476,Thùng 48 Hộp Sữa Uống Tiệt Trùng Dutch Lady Cô Gái Hà Lan Dâu (48 x 180ml),408000,552000,144000,4.8,143,,,,,,,,,,thùng hộp sữa uống
12629704,Thùng Sữa đậu nành Vinasoy Fami nguyên chất (200ml x 40 Bịch),158000,199000,41000,4.8,544,,,,,,,,,,thùng sữa đậu nành vinasoy fami
1257387,Socola Đen Nhân Hạt Dẻ Ritter Sport (100g),95000,95000,0,4,9,,,,,,,,,,socola đen nhân hạt dẻ ritter
1064970,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 8 - Hộp 500gr,625121,625121,0,5,66,,,,,,,,,,trung nguyên legend cà phê rang xay
278768374,Thùng 24 lon Bia Lager Tuborg (330ml/lon) - Độ cồn 4.6%,367000,367000,0,5,1,,,,,,,,,,thu ng bia lager
276178337,Dầu ăn cao cấp Meizan Gold 1L,58000,58000,0,0,0,,,,,,,,,,dầu ăn cao cấp meizan
274764361,[Combo 12 Gói] Thức Ăn Cho Mèo Con WHISKAS Junior 2-12 months Vị Cá Thu 80g/Gói,146000,161000,15000,5,12,,,,,,,,,,thức ăn mèo whiskas junior
274273467,Thùng sữa đậu nành Vinasoy Fami Green soy rất ít đường (**) (36 hộp x 180ml),173000,242000,69000,4.8,4,,,,,,,,,,thùng sữa đậu nành vinasoy fami
274185335,Miến Khang Phúc 180g ( 1 thùng gồm 20 gói),486000,486000,0,0,0,,,,,,,,,,miến
272828405,Cát Vệ Sinh Đậu Nành Cho Mèo Tofu Cat Litter Catsme 6L - YonaPetshop,115000,115000,0,5,4,,,,,,,,,,cát vệ sinh đậu nành mèo
262783572,Gạo Thơm Thượng Hạng Neptune Nhãn Vàng 5kg,130000,200000,70000,4.8,8,,,,,,,,,,gạo thơm thượng hạng neptune
221018258,Thức Ăn Hạt Khô Cho Chó Lớn Classic Pet Adult Beef Flavour Vị Thịt Bò 400g,26000,26000,0,4.8,10,,,,,,,,,,thức ăn hạt khô chó
196856210,Hạt bí Thái Sơn rang muối bì zipper 500g,78000,78000,0,4.7,21,,,,,,,,,,hạt bí thái sơn rang
193588364,Hạt Kê Vàng Hữu Cơ Bóc Vỏ Viettin Mart 500G,70000,70000,0,4.7,6,,,,,,,,,,hạt kê vàng hữu cơ
174248005,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 20 sachets x 16gr (gói vuông),73000,79531,6531,5,36,,,,,,,,,,trung nguyên legend cà phê hòa
153768302,Kẹo ngậm đau họng Ricola Shweizer Krauterzucker tạo cảm giác dịu nhẹ và thơm mát miệng và cổ họng - QuaTangMe Extaste,229000,229000,0,5,80,,,,,,,,,,kẹo ngậm đau họng
114809889,Hạt nêm MAGGI Xương Hầm 3 ngọt Heo gói 900g,78000,95000,17000,4.8,65,,,,,,,,,,hạt nêm maggi xương
114809857,Hạt nêm cao cấp MAGGI vị Nấm Hương gói 450g,60000,62000,2000,5,125,,,,,,,,,,hạt nêm cao cấp maggi vị
110984212,Dầu Oliu hữu cơ nguyên chất Naturel 500 ml,195000,215000,20000,5,8,,,,,,,,,,dầu oliu hữu cơ nguyên chất naturel
109391485,Đặc Sản Phan Thiết - Nước Mắm Nhỉ Cá Cơm Than Làng Chài Xưa 525Ml (01 Chai) Sánh Đặc Thịt Cá 300 Năm Truyền Thống,60000,60000,0,4.8,166,,,,,,,,,,đặc sản phan thiết nước mắm nhỉ cá
89793198,Thùng Kem Đặc Có Đường Hoàn Hảo (12 Hộp x 1.27kg),831000,950000,119000,5,12,,,,,,,,,,thùng kem đặc có
75029392,'Rượu Vang Trắng Ballon D''OR Sauvignon Blanc Varietal 750ml 12% - 14% - Không Hộp',289000,345000,56000,4.7,9,,,,,,,,,,rượu vang trắng ballon
59514129,Trung Nguyên Legend - Cà phê hòa tan G7 3in1 - Bịch 50 sticks x 16gr (gói dài),196937,196937,0,5,239,,,,,,,,,,trung nguyên legend cà phê hòa
59178463,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 2 - Bịch 340gr,97000,107953,10953,5,117,,,,,,,,,,trung nguyên legend cà phê rang xay
58448473,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 4 - Bịch 340gr,137000,147642,10642,4.8,166,,,,,,,,,,trung nguyên legend cà phê rang xay
58448354,Trung Nguyên Legend - Cà phê rang xay Chế phin 5 - Bịch 500gr,269000,292910,23910,4.8,159,,,,,,,,,,trung nguyên legend cà phê rang
35848354,Cà Phê Đen Hòa Tan Espresso KING COFFEE - Hộp 100 gói x 2.5g,384300,446800,62500,4.8,279,,,,,,,,,,cà phê đen hòa tan
13007177,Thùng 12 Hộp Phở Bò Hà Nội Cung Đình,169000,175000,6000,5,9,,,,,,,,,,thùng hộp phở bò
2454353,Thùng 48 Hộp Sữa Chua Lên Men Tự Nhiên Yomost Vị Dâu (170ml/Hộp),359000,454000,95000,4.8,571,,,,,,,,,,thùng hộp sữa chua
2454317,Thùng 48 Hộp Sữa Uống Dutch Lady Cô Gái Hà Lan Có Đường Cao Khỏe (48X110ml),217000,314000,97000,4.7,442,,,,,,,,,,thùng hộp sữa uống
2454289,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan Không Đường (48X180ml),408000,533000,125000,4.8,361,,,,,,,,,,thùng hộp sữa tươi tiệt
658758,Đồ Ăn Cho Chó Vị Thịt Bò Và Các Loại Rau Củ Pedigree Dạng Bao (10kg),572000,600000,28000,4.8,48,,,,,,,,,,đồ ăn chó thịt bò
646084,Thức Ăn Mèo Vị Cá Biển Whiskas (3Kg),275000,350000,75000,4.8,138,,,,,,,,,,thức ăn mèo vị cá biển
483311,Dầu Hướng Dương Simply (1L / Chai),69000,85000,16000,5,249,,,,,,,,,,dầu hướng
437758,Bánh Ăn Sáng Nestle Cflakes (275g),75000,82000,7000,4.6,107,,,,,,,,,,bánh ăn sáng
278703529,(Hàng tặng không bán) Gói Sample Kit Bộ 3 Tuyệt Phẩm Trung Nguyên Legend,900000,900000,0,0,0,,,,,,,,,,gói sample kit bộ tuyệt phẩm
278574783,[ĐƠN 399K TẶNG 1 PHIN PHA CÀ PHÊ] Cà bột Truyền thống Highlands Coffee 1kg,445000,445000,0,5,10,,,,,,,,,,cà bột truyền thống highlands
278574658,[ QUÀ TẶNG THAY THẾ PHIN PHA CÀ PHÊ] Thùng 24 lon cà phê sữa Highlands Coffee 185ml,340000,340000,0,5,4,,,,,,,,,,thùng cà phê sữa highlands
277921671,Gạo Nhật Vinh Hiển Taiyo 5kg,145000,164000,19000,5,2,,,,,,,,,,gạo nhật vinh
276850899,Thùng 20 Chai Nước Uống Ion Kiềm Cao Cấp Đóng Chai Fujiwa 680ml - Nước uống Detox với Công Nghệ Điện Phân Ion Kiềm,120000,120000,0,5,1,,,,,,,,,,thùng chai nước uống
219135451,Chai Xịt Ngăn Chặn Và Xua Đuổi Chó Mèo Phóng Uế Cắn Phá FAY Repell,79000,79000,0,4.7,17,,,,,,,,,,chai xịt ngăn chặn xua đuổi
213954374,Thùng 30 gói Hủ Tiếu Nam Vang Cung Đình (85g x 30 gói),290000,309000,19000,5,12,,,,,,,,,,thùng gói hủ tiếu nam
204090524,Bánh bông lan cuộn Hura Swissroll 360g - Bép ngậy mềm mịn chất lượng,54596,56285,1689,4.8,4,,,,,,,,,,bánh bông lan cuộn
198431072,Set 1 gói Trà sữa/Cà phê Aikcheong Malaysia dùng thử (40g/25g),14500,14500,0,5,2,,,,,,,,,,set gói trà sữa
195657152,[HỘP 6 GÓI] Snack Rong Biển TaoKaeNoi Big Roll 3G Thái Lan Chính Hãng Ăn Vặt Healthy,46500,46500,0,4.8,46,,,,,,,,,,snack rong biển taokaenoi
135321742,Bột Matcha Trà Xanh Dalat Farm - Túi 110Gr,150000,150000,0,4.7,75,,,,,,,,,,bột matcha trà xanh
133683743,Dầu Đậu Nành Meizan  1L / 2L / 5L,62000,80000,18000,5,384,,,,,,,,,,dầu đậu nành meizan l
116765900,Thùng Sữa đậu nành Vinasoy Fami Canxi vị Phô Mai ( 200ml x 36 Hộp ),151000,223000,72000,4.8,144,,,,,,,,,,thùng sữa đậu nành vinasoy fami
86267511,Cà phê Cầu Đất Blend Cao Cấp Nguyên Chất Rang Mộc 100% Kết Hợp Giữa Arabica Cầu Đất Và Robusta Honey Cho Vị Đắng Đầm Thơm Ngọt Hậu - Message Coffee,120000,120000,0,4.8,422,,,,,,,,,,cà phê cầu đất blend
75029420,Rượu Vang Hồng Blanc Foussy Sparkling Rose Pinot Noir 750ml 0.4% - 0.6% - Không Hộp,280000,323000,43000,4.5,16,,,,,,,,,,rượu vang hồng blanc
75029410,Rượu Vang Trắng Chile Bravo Sauvignon Blanc Tradicion 750ml 12% - 14% - Không Hộp,191000,250000,59000,4.8,9,,,,,,,,,,rượu vang trắng chile
73552095,Trà Lài Cầu Đất DalatFarm (dòng Đặc Biệt) - Túi 110Gr,70000,70000,0,4.8,115,,,,,,,,,,trà lài cầu đất
58453178,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Special Edition - Hộp 9 gói x 25gr,66000,72151,6151,5,134,,,,,,,,,,trung nguyên legend cà phê hòa
58410333,Trung Nguyên Legend - Cà phê rang xay Gourmet Blend - Hộp 500gr,172148,172148,0,4.8,111,,,,,,,,,,trung nguyên legend cà phê rang
58405972,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 8 - Hộp 250gr,285000,315388,30388,4.7,113,,,,,,,,,,trung nguyên legend cà phê rang xay
51932016,Cà Phê Phin Cầu Đất (Arabica & Robusta) Rang Xay Mộc Sạch Nguyên Chất Chuẩn Gu Người Việt - Túi 250Gr (Dạng Bột),150000,150000,0,4.8,680,,,,,,,,,,cà phê phin cầu đất
51713342,Trung Nguyên Legend - Cà phê rang xay Sức sống Nâu - Bịch 500gr,134799,134799,0,4.8,286,,,,,,,,,,trung nguyên legend cà phê rang
50488105,Trà Xanh Thái Nguyên Khánh Nga,32000,29000,-3000,4.7,74,,,,,,,,,,trà xanh thái nguyên khánh
46095231,Đặc sản Tiền Giang - Gạo Lứt VietGAP Vinh Hiển (2KG) - Chuẩn VietGAP và OCOP 4 SAO,55999,55999,0,4.7,231,,,,,,,,,,đặc sản tiền giang gạo lứt
23192253,Thùng sữa đậu nành Vinasoy Fami Canxi Nguyên vị (200ml x 36 hộp,156000,221000,65000,4.8,455,,,,,,,,,,thùng sữa đậu nành vinasoy fami
23192245,Thùng 10 Hộp Sữa đậu nành Vinasoy Fami Canxi (1 lít/Hộp),205000,277000,72000,4.8,339,,,,,,,,,,thùng hộp sữa đậu nành vinasoy
21973757,Thùng 48 Hộp sữa dinh dưỡng Vinamilk ADM Gold IQ có đường 180ml,347000,420000,73000,4.5,2,,,,,,,,,,thùng hộp sữa dinh dưỡng
20367638,Trung Nguyên Legend - Cà phê hạt rang Success 2 - Bịch 1kg,495000,551518,56518,4.8,98,,,,,,,,,,trung nguyên legend cà phê hạt
3493689,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Hộp 12 gói x 17gr,58468,58468,0,4.8,188,,,,,,,,,,trung nguyên legend cà phê hòa
2454359,Thùng 48 Hộp Sữa Chua Lên Men Tự Nhiên Yomost Trái Lựu (170ml/Hộp),359000,454000,95000,4.8,620,,,,,,,,,,thùng hộp sữa chua
2454355,Thùng 48 Hộp Sữa Chua Lên Men Tự Nhiên Yomost Vị Cam (170ml/Hộp),359000,454000,95000,4.8,622,,,,,,,,,,thùng hộp sữa chua
1085852,Thùng 24 Chai Nước Tăng Lực Sting Đỏ Dâu (330ml/Chai),261600,300840,39240,5,764,,,,,,,,,,thùng chai nước tăng lực
1064988,Trung Nguyên Legend - Cà phê hòa tan G7 2in1 - Hộp 15 gói x 16gr,73000,79031,6031,5,96,,,,,,,,,,trung nguyên legend cà phê hòa
278768350,Thùng 24 lon Bia Pháp Kronenbourg 1664 Blanc (330ml/lon) - Độ cồn 5%,447000,447000,0,0,0,,,,,,,,,,thu ng lon bia pháp
278574808,[ ĐƠN 399K TẶNG PHIN PHA CÀ PHÊ HIGHLANDS] Cà phê Rang xay Truyền Thống Highlands Coffee 200g,120000,120000,0,4.7,7,,,,,,,,,,cà phê rang xay truyền thống highlands
278104134,Cà Phê Hòa Tan Sấy Lạnh Trung Nguyên Legend Gold - Hũ 100gr,209000,225504,16504,5,5,,,,,,,,,,cà phê hòa tan sấy lạnh
276850676,Thùng 24 Chai Nước Uống Ion Kiềm Cao Cấp Đóng Chai Fujiwa 300ml - Nước uống Detox với Công Nghệ Điện Phân Ion Kiềm,84000,84000,0,5,1,,,,,,,,,,thùng chai nước uống
276567298,LẠP XƯỞNG TÔM TÂN LỘC PHÁT,212000,212000,0,4.5,134,,,,,,,,,,lạp xưởng tôm tân lộc phát
274765113,Thức Ăn Cho Mèo Con Whiskas Junior 2-12 MonthsVị Cá Biển 450g/Túi,54000,110000,56000,5,4,,,,,,,,,,thức ăn mèo con whiskas
273205945,Ngũ cốc ăn sáng KOKO KRUNCH (Hộp 300g),104000,200000,96000,5,3,,,,,,,,,,ngũ cốc ăn sáng
272421931,[Tặng 10 lon sữa gấu] Combo 4 hộp nước cốt cà phê NESCAFÉ - CÀ PHÊ ĐEN ĐÁ (4 hộp x 5 gói x 75ml),222000,222000,0,4.8,8,,,,,,,,,,combo hộp nước cốt
